iter	Passed	Remaining
0	5	5658
1	9	4811
2	12	4250
3	15	3916
4	18	3710
5	21	3491
6	23	3318
7	25	3182
8	28	3093
9	30	3035
10	33	2976
11	35	2943
12	38	2895
13	40	2852
14	42	2815
15	44	2766
16	47	2733
17	49	2706
18	51	2656
19	53	2623
20	55	2583
21	57	2560
22	59	2530
23	61	2508
24	63	2495
25	65	2472
26	68	2452
27	70	2430
28	72	2412
29	74	2393
30	76	2380
31	78	2371
32	80	2355
33	82	2347
34	84	2339
35	86	2327
36	88	2313
37	90	2298
38	93	2292
39	95	2285
40	97	2276
41	99	2264
42	101	2249
43	103	2239
44	105	2229
45	107	2223
46	109	2220
47	112	2221
48	114	2225
49	116	2221
50	118	2209
51	121	2206
52	123	2201
53	125	2193
54	127	2190
55	129	2187
56	131	2182
57	134	2186
58	137	2187
59	139	2187
60	142	2187
61	144	2182
62	146	2180
63	149	2179
64	151	2173
65	153	2170
66	155	2167
67	157	2162
68	160	2160
69	162	2156
70	164	2152
71	167	2156
72	169	2156
73	182	2289
74	185	2288
75	188	2290
76	190	2288
77	193	2286
78	195	2284
79	199	2290
80	201	2285
81	203	2282
82	206	2278
83	208	2276
84	211	2272
85	213	2271
86	216	2267
87	218	2263
88	220	2258
89	222	2252
90	225	2251
91	227	2247
92	230	2243
93	232	2241
94	234	2235
95	236	2230
96	238	2224
97	241	2219
98	243	2212
99	245	2206
100	247	2203
101	249	2198
102	252	2194
103	254	2190
104	256	2187
105	259	2184
106	261	2178
107	262	2172
108	264	2165
109	266	2159
110	268	2152
111	271	2149
112	273	2143
113	274	2137
114	277	2131
115	279	2128
116	281	2122
117	283	2117
118	285	2113
119	287	2107
120	289	2101
121	291	2095
122	293	2090
123	295	2084
124	297	2080
125	299	2074
126	301	2073
127	303	2070
128	305	2065
129	307	2060
130	309	2055
131	311	2050
132	313	2044
133	315	2040
134	317	2035
135	319	2030
136	321	2024
137	323	2019
138	325	2014
139	326	2007
140	328	2003
141	330	1999
142	332	1993
143	334	1988
144	336	1983
145	338	1977
146	339	1972
147	341	1966
148	343	1961
149	345	1956
150	347	1952
151	349	1948
152	351	1944
153	353	1939
154	354	1934
155	356	1929
156	358	1924
157	360	1919
158	362	1916
159	364	1911
160	365	1906
161	367	1902
162	369	1897
163	371	1893
164	373	1888
165	374	1884
166	377	1880
167	378	1876
168	380	1872
169	382	1868
170	384	1864
171	386	1860
172	388	1856
173	390	1852
174	392	1849
175	394	1845
176	395	1841
177	397	1837
178	399	1832
179	401	1829
180	403	1825
181	405	1821
182	408	1821
183	410	1819
184	412	1816
185	414	1814
186	417	1812
187	419	1810
188	422	1810
189	424	1808
190	426	1805
191	428	1803
192	430	1799
193	432	1796
194	434	1794
195	436	1791
